Title,Location,Price,Area,Room,Brokerage Firm,Brokerage Firm link
Apartment Marnixstraat,            1016 TC Amsterdam (Jordaan)        ,"                €5,500 per month            ",143 m²,3 rooms,City Housing Amsterdam ,https://www.pararius.com/real-estate-agents/amsterdam/city-housing-amsterdam
Apartment Bilderdijkkade,            1053 VA Amsterdam (Da Costabuurt)        ,"                €1,800 per month            ",57 m²,2 rooms,Amsterdam Housing ,https://www.pararius.com/real-estate-agents/amsterdam/amsterdam-housing
Apartment Faas Wilkesstraat,            1095 MD Amsterdam (Zeeburgereiland/Nieuwe Diep)        ,"                €1,395 per month            ",51 m²,2 rooms,Lemoo ,https://www.pararius.com/real-estate-agents/utrecht/lemoo
Apartment Pieter Cornelisz. Hooftstraat 192,            1071 CH Amsterdam (Museumkwartier)        ,"                €4,000 per month            ",95 m²,3 rooms,De Graaf & Groot Makelaars ,https://www.pararius.com/real-estate-agents/amsterdam/de-graaf-groot-makelaars
Apartment Haarlemmerweg,            1051 LE Amsterdam (Staatsliedenbuurt)        ,"                €1,700 per month            ",42 m²,2 rooms,The Dutch Realty ,https://www.pararius.com/real-estate-agents/amsterdam/the-dutch-realty
Apartment Wijttenbachstraat 12 1,            1093 JB Amsterdam (Dapperbuurt)        ,"                €1,650 per month            ",60 m²,3 rooms,Van Huis Uit Makelaars ,https://www.pararius.com/real-estate-agents/amsterdam/van-huis-uit-makelaars
Apartment Pieter Langendijkstraat 12 2,            1054 ZA Amsterdam (Overtoomse Sluis)        ,"                €1,850 per month            ",63 m²,3 rooms,Van Huis Uit Makelaars ,https://www.pararius.com/real-estate-agents/amsterdam/van-huis-uit-makelaars
Apartment Van Baerlestraat 120,            1071 BD Amsterdam (Museumkwartier)        ,"                €2,250 per month            ",70 m²,3 rooms,Amsterdam Housing ,https://www.pararius.com/real-estate-agents/amsterdam/amsterdam-housing
Apartment Nieuwe Prinsengracht,            1018 VV Amsterdam (Weesperbuurt/Plantage)        ,"                €2,950 per month            ",114 m²,4 rooms,The Rental Agency Amsterdam ,https://www.pararius.com/real-estate-agents/amsterdam/the-rental-agency-amsterdam
Apartment Weesperzijde 6 3,            1091 EA Amsterdam (Weesperzijde)        ,"                €2,600 per month            ",92 m²,3 rooms,Vastgoed Unie Makelaardij ,https://www.pararius.com/real-estate-agents/amsterdam/vastgoed-unie-makelaardij
Apartment Churchill-laan,            1078 EC Amsterdam (Scheldebuurt)        ,"                €3,600 per month            ",97 m²,4 rooms,I-housing ,https://www.pararius.com/real-estate-agents/amsterdam/i-housing
Apartment Weesperzijde,            1091 EJ Amsterdam (Weesperzijde)        ,"                €1,850 per month            ",59 m²,2 rooms,HB Housing ,https://www.pararius.com/real-estate-agents/amsterdam/hb-housing-amsterdam
Apartment Scheldestraat 46 I,            1078 GM Amsterdam (Scheldebuurt)        ,"                €1,825 per month            ",58 m²,3 rooms,BrinkBorgh Makelaardij ,https://www.pararius.com/real-estate-agents/amsterdam/brinkborgh-makelaardij
Apartment Van Nijenrodeweg,            1082 JJ Amsterdam (Buitenveldert-West)        ,"                €1,580 per month            ",35 m²,2 rooms,Orange Wonen ,https://www.pararius.com/real-estate-agents/wormerveer/orange-wonen
Apartment Wouwermanstraat,            1071 LX Amsterdam (Museumkwartier)        ,"                €6,900 per month            ",241 m²,7 rooms,BIC Makelaardij ,https://www.pararius.com/real-estate-agents/amsterdam/bic-makelaardij
Apartment Kerkstraat 127 B,            1017 GE Amsterdam (Grachtengordel-Zuid)        ,"                €2,400 per month            ",84 m²,3 rooms,Vastgoed Unie Makelaardij ,https://www.pararius.com/real-estate-agents/amsterdam/vastgoed-unie-makelaardij
Apartment Kleiburg 8 C,"            1104 EA Amsterdam (Bijlmer Oost (E,G,K))        ","                €1,550 per month            ",79 m²,3 rooms,Hoen Vastgoedbeheer ,https://www.pararius.com/real-estate-agents/amsterdam/hoen-vastgoedbeheer
Apartment Burgemeester Hogguerstraat,            1064 ED Amsterdam (Slotermeer-Zuidwest)        ,"                €1,500 per month            ",50 m²,2 rooms,Expathousing.com (Amsterdam) ,https://www.pararius.com/real-estate-agents/amsterdam/expathousing-com-amsterdam
Apartment Stadionweg 90 3,            1077 SR Amsterdam (Apollobuurt)        ,"                €2,900 per month            ",107 m²,4 rooms,Amsterdam Housing ,https://www.pararius.com/real-estate-agents/amsterdam/amsterdam-housing
Apartment Plantage Muidergracht,            1018 TS Amsterdam (Weesperbuurt/Plantage)        ,"                €1,850 per month            ",50 m²,2 rooms,Marktpand ,https://www.pararius.com/real-estate-agents/utrecht/marktpand
Apartment Keizersgracht 642 B,            1017 ES Amsterdam (Grachtengordel-Zuid)        ,"                €2,500 per month            ",122 m²,2 rooms,Vastgoed Unie Makelaardij ,https://www.pararius.com/real-estate-agents/amsterdam/vastgoed-unie-makelaardij
Apartment Kinkerstraat 41 3V,            1053 DD Amsterdam (Van Lennepbuurt)        ,"                €1,450 per month            ",35 m²,2 rooms,ViaDaan ,https://www.pararius.com/real-estate-agents/eindhoven/viadaan-nijmegen
Apartment Cliostraat 10,            1077 KG Amsterdam (Apollobuurt)        ,"                €2,200 per month            ",108 m²,3 rooms,ViaDaan ,https://www.pararius.com/real-estate-agents/eindhoven/viadaan-nijmegen
Apartment Govert Flinckstraat 113 2A1,            1072 EG Amsterdam (Oude Pijp)        ,"                €1,528 per month            ",35 m²,2 rooms,ViaDaan ,https://www.pararius.com/real-estate-agents/eindhoven/viadaan-nijmegen
Apartment Jan Pieter Heijestraat 151 3,            1054 MG Amsterdam (Helmersbuurt)        ,"                €1,450 per month            ",43 m²,2 rooms,Van Huis Uit Makelaars ,https://www.pararius.com/real-estate-agents/amsterdam/van-huis-uit-makelaars
Apartment De Lairessestraat 152 1,            1075 HL Amsterdam (Willemspark)        ,"                €7,000 per month            ",284 m²,7 rooms,Haagen & Partners ,https://www.pararius.com/real-estate-agents/amsterdam/haagen-partners
Apartment Leidsekade 59 B,            1016 CX Amsterdam (Jordaan)        ,"                €1,850 per month            ",67 m²,2 rooms,Dutch Housing Centre BV ,https://www.pararius.com/real-estate-agents/amsterdam/dutch-housing-centre-bv
House Eurokade,            1060 RZ Amsterdam (Middelveldsche Akerpolder)        ,"                €2,750 per month            ",145 m²,5 rooms,ME Makelaars BV ,https://www.pararius.com/real-estate-agents/amsterdam/me-makelaars-bv
Apartment Churchill-laan 282 2,            1078 GB Amsterdam (Scheldebuurt)        ,"                €2,500 per month            ",95 m²,4 rooms,Van Huis Uit Makelaars ,https://www.pararius.com/real-estate-agents/amsterdam/van-huis-uit-makelaars
Apartment 1e Kekerstraat 169,"            1104 VA Amsterdam (Bijlmer Oost (E,G,K))        ","                €1,500 per month            ",100 m²,3 rooms,Linger OG ,https://www.pararius.com/real-estate-agents/amsterdam/linger-og
Apartment Wanningstraat,            1071 LA Amsterdam (Museumkwartier)        ,"                €2,850 per month            ",160 m²,4 rooms,Draijer Makelaardij & Vastgoedbeheer ,https://www.pararius.com/real-estate-agents/amsterdam/draijer-makelaardij-vastgoedbeheer
Apartment Marnixstraat,            1016 TC Amsterdam (Jordaan)        ,"                €5,500 per month            ",143 m²,3 rooms,City Housing Amsterdam ,https://www.pararius.com/real-estate-agents/amsterdam/city-housing-amsterdam
Apartment Bilderdijkkade,            1053 VA Amsterdam (Da Costabuurt)        ,"                €1,800 per month            ",57 m²,2 rooms,Amsterdam Housing ,https://www.pararius.com/real-estate-agents/amsterdam/amsterdam-housing
Apartment Faas Wilkesstraat,            1095 MD Amsterdam (Zeeburgereiland/Nieuwe Diep)        ,"                €1,395 per month            ",51 m²,2 rooms,Lemoo ,https://www.pararius.com/real-estate-agents/utrecht/lemoo
Apartment Pieter Cornelisz. Hooftstraat 192,            1071 CH Amsterdam (Museumkwartier)        ,"                €4,000 per month            ",95 m²,3 rooms,De Graaf & Groot Makelaars ,https://www.pararius.com/real-estate-agents/amsterdam/de-graaf-groot-makelaars
Apartment Haarlemmerweg,            1051 LE Amsterdam (Staatsliedenbuurt)        ,"                €1,700 per month            ",42 m²,2 rooms,The Dutch Realty ,https://www.pararius.com/real-estate-agents/amsterdam/the-dutch-realty
Apartment Wijttenbachstraat 12 1,            1093 JB Amsterdam (Dapperbuurt)        ,"                €1,650 per month            ",60 m²,3 rooms,Van Huis Uit Makelaars ,https://www.pararius.com/real-estate-agents/amsterdam/van-huis-uit-makelaars
Apartment Pieter Langendijkstraat 12 2,            1054 ZA Amsterdam (Overtoomse Sluis)        ,"                €1,850 per month            ",63 m²,3 rooms,Van Huis Uit Makelaars ,https://www.pararius.com/real-estate-agents/amsterdam/van-huis-uit-makelaars
Apartment Van Baerlestraat 120,            1071 BD Amsterdam (Museumkwartier)        ,"                €2,250 per month            ",70 m²,3 rooms,Amsterdam Housing ,https://www.pararius.com/real-estate-agents/amsterdam/amsterdam-housing
Apartment Nieuwe Prinsengracht,            1018 VV Amsterdam (Weesperbuurt/Plantage)        ,"                €2,950 per month            ",114 m²,4 rooms,The Rental Agency Amsterdam ,https://www.pararius.com/real-estate-agents/amsterdam/the-rental-agency-amsterdam
Apartment Weesperzijde 6 3,            1091 EA Amsterdam (Weesperzijde)        ,"                €2,600 per month            ",92 m²,3 rooms,Vastgoed Unie Makelaardij ,https://www.pararius.com/real-estate-agents/amsterdam/vastgoed-unie-makelaardij
Apartment Churchill-laan,            1078 EC Amsterdam (Scheldebuurt)        ,"                €3,600 per month            ",97 m²,4 rooms,I-housing ,https://www.pararius.com/real-estate-agents/amsterdam/i-housing
Apartment Weesperzijde,            1091 EJ Amsterdam (Weesperzijde)        ,"                €1,850 per month            ",59 m²,2 rooms,HB Housing ,https://www.pararius.com/real-estate-agents/amsterdam/hb-housing-amsterdam
Apartment Scheldestraat 46 I,            1078 GM Amsterdam (Scheldebuurt)        ,"                €1,825 per month            ",58 m²,3 rooms,BrinkBorgh Makelaardij ,https://www.pararius.com/real-estate-agents/amsterdam/brinkborgh-makelaardij
Apartment Van Nijenrodeweg,            1082 JJ Amsterdam (Buitenveldert-West)        ,"                €1,580 per month            ",35 m²,2 rooms,Orange Wonen ,https://www.pararius.com/real-estate-agents/wormerveer/orange-wonen
Apartment Wouwermanstraat,            1071 LX Amsterdam (Museumkwartier)        ,"                €6,900 per month            ",241 m²,7 rooms,BIC Makelaardij ,https://www.pararius.com/real-estate-agents/amsterdam/bic-makelaardij
Apartment Kerkstraat 127 B,            1017 GE Amsterdam (Grachtengordel-Zuid)        ,"                €2,400 per month            ",84 m²,3 rooms,Vastgoed Unie Makelaardij ,https://www.pararius.com/real-estate-agents/amsterdam/vastgoed-unie-makelaardij
Apartment Kleiburg 8 C,"            1104 EA Amsterdam (Bijlmer Oost (E,G,K))        ","                €1,550 per month            ",79 m²,3 rooms,Hoen Vastgoedbeheer ,https://www.pararius.com/real-estate-agents/amsterdam/hoen-vastgoedbeheer
Apartment Burgemeester Hogguerstraat,            1064 ED Amsterdam (Slotermeer-Zuidwest)        ,"                €1,500 per month            ",50 m²,2 rooms,Expathousing.com (Amsterdam) ,https://www.pararius.com/real-estate-agents/amsterdam/expathousing-com-amsterdam
Apartment Stadionweg 90 3,            1077 SR Amsterdam (Apollobuurt)        ,"                €2,900 per month            ",107 m²,4 rooms,Amsterdam Housing ,https://www.pararius.com/real-estate-agents/amsterdam/amsterdam-housing
Apartment Plantage Muidergracht,            1018 TS Amsterdam (Weesperbuurt/Plantage)        ,"                €1,850 per month            ",50 m²,2 rooms,Marktpand ,https://www.pararius.com/real-estate-agents/utrecht/marktpand
Apartment Keizersgracht 642 B,            1017 ES Amsterdam (Grachtengordel-Zuid)        ,"                €2,500 per month            ",122 m²,2 rooms,Vastgoed Unie Makelaardij ,https://www.pararius.com/real-estate-agents/amsterdam/vastgoed-unie-makelaardij
Apartment Kinkerstraat 41 3V,            1053 DD Amsterdam (Van Lennepbuurt)        ,"                €1,450 per month            ",35 m²,2 rooms,ViaDaan ,https://www.pararius.com/real-estate-agents/eindhoven/viadaan-nijmegen
Apartment Cliostraat 10,            1077 KG Amsterdam (Apollobuurt)        ,"                €2,200 per month            ",108 m²,3 rooms,ViaDaan ,https://www.pararius.com/real-estate-agents/eindhoven/viadaan-nijmegen
Apartment Govert Flinckstraat 113 2A1,            1072 EG Amsterdam (Oude Pijp)        ,"                €1,528 per month            ",35 m²,2 rooms,ViaDaan ,https://www.pararius.com/real-estate-agents/eindhoven/viadaan-nijmegen
Apartment Jan Pieter Heijestraat 151 3,            1054 MG Amsterdam (Helmersbuurt)        ,"                €1,450 per month            ",43 m²,2 rooms,Van Huis Uit Makelaars ,https://www.pararius.com/real-estate-agents/amsterdam/van-huis-uit-makelaars
Apartment De Lairessestraat 152 1,            1075 HL Amsterdam (Willemspark)        ,"                €7,000 per month            ",284 m²,7 rooms,Haagen & Partners ,https://www.pararius.com/real-estate-agents/amsterdam/haagen-partners
Apartment Leidsekade 59 B,            1016 CX Amsterdam (Jordaan)        ,"                €1,850 per month            ",67 m²,2 rooms,Dutch Housing Centre BV ,https://www.pararius.com/real-estate-agents/amsterdam/dutch-housing-centre-bv
House Eurokade,            1060 RZ Amsterdam (Middelveldsche Akerpolder)        ,"                €2,750 per month            ",145 m²,5 rooms,ME Makelaars BV ,https://www.pararius.com/real-estate-agents/amsterdam/me-makelaars-bv
Apartment Churchill-laan 282 2,            1078 GB Amsterdam (Scheldebuurt)        ,"                €2,500 per month            ",95 m²,4 rooms,Van Huis Uit Makelaars ,https://www.pararius.com/real-estate-agents/amsterdam/van-huis-uit-makelaars
Apartment 1e Kekerstraat 169,"            1104 VA Amsterdam (Bijlmer Oost (E,G,K))        ","                €1,500 per month            ",100 m²,3 rooms,Linger OG ,https://www.pararius.com/real-estate-agents/amsterdam/linger-og
Apartment Wanningstraat,            1071 LA Amsterdam (Museumkwartier)        ,"                €2,850 per month            ",160 m²,4 rooms,Draijer Makelaardij & Vastgoedbeheer ,https://www.pararius.com/real-estate-agents/amsterdam/draijer-makelaardij-vastgoedbeheer
Apartment Marnixstraat,            1016 TC Amsterdam (Jordaan)        ,"                €5,500 per month            ",143 m²,3 rooms,City Housing Amsterdam ,https://www.pararius.com/real-estate-agents/amsterdam/city-housing-amsterdam
Apartment Frederiksplein,            1017 XN Amsterdam (De Weteringschans)        ,"                €1,900 per month            ",54 m²,2 rooms,Von Poll Real Estate - Centrum ,https://www.pararius.com/real-estate-agents/amsterdam/von-poll-real-estate-centrum
Apartment Eerste Boerhaavestraat,            1091 RZ Amsterdam (Weesperzijde)        ,"                €1,950 per month            ",50 m²,1 room,Housing Experts ,https://www.pararius.com/real-estate-agents/amsterdam/housing-experts
Apartment Van der Hoopstraat,            1051 VN Amsterdam (Staatsliedenbuurt)        ,"                €1,900 per month            ",48 m²,1 room,Hausing ,https://www.pararius.com/real-estate-agents/amsterdam/hausing
Apartment Cornelis Schuytstraat,            1071 JC Amsterdam (Museumkwartier)        ,"                €4,750 per month            ",140 m²,3 rooms,Hausing ,https://www.pararius.com/real-estate-agents/amsterdam/hausing
Apartment Gillis van Ledenberchstraat,            1052 TV Amsterdam (Frederik Hendrikbuurt)        ,"                €2,350 per month            ",85 m²,3 rooms,Hendriks Housing ,https://www.pararius.com/real-estate-agents/amsterdam/hendriks-housing
Apartment Van Heenvlietlaan 190,            1083 CM Amsterdam (Buitenveldert-Oost)        ,"                €2,500 per month            ",117 m²,4 rooms,Pro Real Estate ,https://www.pararius.com/real-estate-agents/amsterdam/pro-real-estate
Apartment Professor J.H. Gunningstraat,            1068 MS Amsterdam (Osdorp-Oost)        ,"                €2,250 per month            ",111 m²,4 rooms,City Homes ,https://www.pararius.com/real-estate-agents/amsterdam/amsterdam-city-homes
Apartment Blaeustraat,            1012 ZK Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €2,200 per month            ",68 m²,3 rooms,Brockhoff Makelaars ,https://www.pararius.com/real-estate-agents/amstelveen/brockhoff-makelaars-2
Apartment Wibautstraat,            1091 GR Amsterdam (Weesperzijde)        ,"                €2,000 per month            ",80 m²,3 rooms,Huisportaal.nl ,https://www.pararius.com/real-estate-agents/gemert/huisportaal-nl
Apartment Eerste Van Swindenstraat 76 E,            1093 GH Amsterdam (Dapperbuurt)        ,"                €1,900 per month            ",54 m²,3 rooms,Vastgoed Unie Makelaardij ,https://www.pararius.com/real-estate-agents/amsterdam/vastgoed-unie-makelaardij
Apartment Eerste Van Swindenstraat 76 F,            1093 GH Amsterdam (Dapperbuurt)        ,"                €1,700 per month            ",48 m²,2 rooms,Vastgoed Unie Makelaardij ,https://www.pararius.com/real-estate-agents/amsterdam/vastgoed-unie-makelaardij
Apartment Eerste Van Swindenstraat 76 N,            1093 GH Amsterdam (Dapperbuurt)        ,"                €2,500 per month            ",70 m²,4 rooms,Vastgoed Unie Makelaardij ,https://www.pararius.com/real-estate-agents/amsterdam/vastgoed-unie-makelaardij
Apartment Eerste Van Swindenstraat 76 P,            1093 GH Amsterdam (Dapperbuurt)        ,"                €2,500 per month            ",72 m²,4 rooms,Vastgoed Unie Makelaardij ,https://www.pararius.com/real-estate-agents/amsterdam/vastgoed-unie-makelaardij
Apartment Eerste Van Swindenstraat 76 G,            1093 GH Amsterdam (Dapperbuurt)        ,"                €2,500 per month            ",67 m²,3 rooms,Vastgoed Unie Makelaardij ,https://www.pararius.com/real-estate-agents/amsterdam/vastgoed-unie-makelaardij
Apartment Faas Wilkesstraat,            1095 MD Amsterdam (Zeeburgereiland/Nieuwe Diep)        ,"                €2,100 per month            ",87 m²,3 rooms,Lens Real Estate ,https://www.pararius.com/real-estate-agents/amsterdam/lens-real-estate
Apartment Schinkelkade 59 hs,            1075 VL Amsterdam (Schinkelbuurt)        ,"                €1,750 per month            ",55 m²,2 rooms,Koops Makelaardij Amsterdam ,https://www.pararius.com/real-estate-agents/amsterdam/koops-makelaardij-amsterdam
Apartment Overamstelstraat,            1091 TM Amsterdam (Weesperzijde)        ,"                €2,650 per month            ",103 m²,4 rooms,123Wonen Amsterdam ,https://www.pararius.com/real-estate-agents/amsterdam/123wonen-amsterdam
Apartment Badhuiskade 319,            1031 KV Amsterdam (Noordelijke IJ-oevers West)        ,"                €2,600 per month            ",80 m²,3 rooms,Broersma Makelaardij ,https://www.pararius.com/real-estate-agents/amsterdam/broersma-makelaardij
Apartment Nieuwe Kerkstraat 112 O,            1018 VM Amsterdam (Weesperbuurt/Plantage)        ,"                €3,400 per month            ",110 m²,4 rooms,Grand Relocation ,https://www.pararius.com/real-estate-agents/amsterdam/grand-relocation
Apartment Ceintuurbaan 231 1,            1074 CW Amsterdam (Oude Pijp)        ,"                €2,950 per month            ",93 m²,3 rooms,Amsterdam Beautiful Property Rental ,https://www.pararius.com/real-estate-agents/amsterdam/amsterdam-beautiful-property-rental
Apartment Govert Flinckstraat 296 3,            1073 CH Amsterdam (Oude Pijp)        ,"                €2,250 per month            ",84 m²,2 rooms,The Rental Agency Amsterdam ,https://www.pararius.com/real-estate-agents/amsterdam/the-rental-agency-amsterdam
Apartment Leeuwenwerf,            1018 JX Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €1,950 per month            ",90 m²,4 rooms,Rosmuller Makelaars ,https://www.pararius.com/real-estate-agents/amsterdam/rosmuller-makelaars
Apartment Rozengracht,            1016 ND Amsterdam (Jordaan)        ,"                €2,100 per month            ",77 m²,2 rooms,Keizerskroon makelaars ,https://www.pararius.com/real-estate-agents/amsterdam/keizerskroon-makelaars-2
Apartment Spaarndammerdijk,            1013 ZW Amsterdam (Spaarndammer- en Zeeheldenbuurt)        ,"                €1,600 per month            ",65 m²,2 rooms,HB Housing ,https://www.pararius.com/real-estate-agents/amsterdam/hb-housing-amsterdam
Apartment Marius Bauerstraat,            1062 AL Amsterdam (Overtoomse Veld)        ,"                €1,695 per month            ",75 m²,3 rooms,People On The Move Expat Brokers ,https://www.pararius.com/real-estate-agents/amsterdam/people-on-the-move-expat-brokers
Apartment Rooseveltlaan,            1079 AB Amsterdam (Scheldebuurt)        ,"                €2,450 per month            ",110 m²,4 rooms,Hausing ,https://www.pararius.com/real-estate-agents/amsterdam/hausing
Apartment Vogelenzangstraat 7 ²,            1058 SM Amsterdam (Hoofddorppleinbuurt)        ,"                €1,672 per month            ",75 m²,3 rooms,Allround Housing ,https://www.pararius.com/real-estate-agents/amsterdam/allround-housing
Apartment Linnaeusparkweg 82 I,            1098 EH Amsterdam (Middenmeer)        ,"                €2,900 per month            ",123 m²,4 rooms,De Heren van Snoek Makelaardij v.o.f. ,https://www.pararius.com/real-estate-agents/amsterdam/de-heren-van-snoek-makelaardij-v-o-f
Apartment Bronckhorststraat,            1071 WS Amsterdam (Museumkwartier)        ,"                €2,150 per month            ",88 m²,3 rooms,Rotsvast Amsterdam ,https://www.pararius.com/real-estate-agents/amsterdam/rotsvast-amsterdam
Apartment Joos Banckersplantsoen 2,            1056 LC Amsterdam (Landlust)        ,"                €1,675 per month            ",100 m²,2 rooms,Openkoop Makelaardij ,https://www.pararius.com/real-estate-agents/baarn/openkoop-makelaardij
Apartment Marnixstraat,            1016 TC Amsterdam (Jordaan)        ,"                €5,500 per month            ",143 m²,3 rooms,City Housing Amsterdam ,https://www.pararius.com/real-estate-agents/amsterdam/city-housing-amsterdam
Apartment Oosteinde,            1017 WT Amsterdam (De Weteringschans)        ,"                €3,950 per month            ",138 m²,6 rooms,Vondel Makelaars ,https://www.pararius.com/real-estate-agents/amsterdam/vondel-makelaars
Apartment Emmastraat,            1071 JA Amsterdam (Museumkwartier)        ,"                €8,750 per month            ",225 m²,5 rooms,Hausing ,https://www.pararius.com/real-estate-agents/amsterdam/hausing
Apartment Van Oldenbarneveldtstraat,            1052 JT Amsterdam (Frederik Hendrikbuurt)        ,"                €3,250 per month            ",135 m²,4 rooms,Hausing ,https://www.pararius.com/real-estate-agents/amsterdam/hausing
Apartment Honingen 28,            1083 JP Amsterdam (Buitenveldert-Oost)        ,"                €1,850 per month            ",86 m²,3 rooms,Renthouse Vastgoed ,https://www.pararius.com/real-estate-agents/amsterdam/renthouse-vastgoed
Apartment Kempenlaan 22,            1066 PX Amsterdam (Sloter-/Riekerpolder)        ,"                €1,950 per month            ",88 m²,4 rooms,People On The Move Expat Brokers ,https://www.pararius.com/real-estate-agents/amsterdam/people-on-the-move-expat-brokers
Apartment Govert Flinckstraat,            1072 ED Amsterdam (Oude Pijp)        ,"                €1,950 per month            ",48 m²,2 rooms,Koops Makelaardij Amsterdam ,https://www.pararius.com/real-estate-agents/amsterdam/koops-makelaardij-amsterdam-2
Apartment Westerstraat 91 1,            1015 LX Amsterdam (Jordaan)        ,"                €1,750 per month            ",44 m²,2 rooms,The Tenants Group ,https://www.pararius.com/real-estate-agents/amsterdam/the-tenants-group
Apartment Koningin Wilhelminaplein,            1062 KS Amsterdam (Westlandgracht)        ,"                €2,150 per month            ",90 m²,3 rooms,Skyreach Stay ,https://www.pararius.com/real-estate-agents/amsterdam/skyreach-stay
Apartment Koningin Wilhelminaplein,            1062 KS Amsterdam (Westlandgracht)        ,"                €2,050 per month            ",90 m²,3 rooms,Skyreach Stay ,https://www.pararius.com/real-estate-agents/amsterdam/skyreach-stay
